Learning Rate: 0.0001
Epoch:0	training loss:5.110495567321777	 training accuracy:0.1225
Epoch:1	training loss:4.915925979614258	 training accuracy:0.1225
Epoch:2	training loss:4.730600833892822	 training accuracy:0.1225
Epoch:3	training loss:4.557399749755859	 training accuracy:0.1225
Epoch:4	training loss:4.398927211761475	 training accuracy:0.1225
Epoch:5	training loss:4.255589485168457	 training accuracy:0.1225
Epoch:6	training loss:4.123689651489258	 training accuracy:0.1225
Epoch:7	training loss:3.9982247352600098	 training accuracy:0.1225
Epoch:8	training loss:3.8772172927856445	 training accuracy:0.1225
Epoch:9	training loss:3.761476993560791	 training accuracy:0.1225
Epoch:10	training loss:3.653028964996338	 training accuracy:0.12375
Epoch:11	training loss:3.5542006492614746	 training accuracy:0.11625
Epoch:12	training loss:3.4669885635375977	 training accuracy:0.07125
Epoch:13	training loss:3.392428398132324	 training accuracy:0.11
Epoch:14	training loss:3.3300564289093018	 training accuracy:0.1875
Epoch:15	training loss:3.2778420448303223	 training accuracy:0.1875
Epoch:16	training loss:3.2328524589538574	 training accuracy:0.1875
Epoch:17	training loss:3.192365884780884	 training accuracy:0.1875
Epoch:18	training loss:3.154738664627075	 training accuracy:0.1875
Epoch:19	training loss:3.1195976734161377	 training accuracy:0.1875
Epoch:20	training loss:3.0875277519226074	 training accuracy:0.1875
Epoch:21	training loss:3.059558629989624	 training accuracy:0.1875
Epoch:22	training loss:3.036667823791504	 training accuracy:0.1875
Epoch:23	training loss:3.0194284915924072	 training accuracy:0.1875
Epoch:24	training loss:3.0078063011169434	 training accuracy:0.1875
Epoch:25	training loss:3.001152992248535	 training accuracy:0.2575
Epoch:26	training loss:2.998347282409668	 training accuracy:0.2575
Epoch:27	training loss:2.998012065887451	 training accuracy:0.2575
Epoch:28	training loss:2.998749017715454	 training accuracy:0.2575
Epoch:29	training loss:2.999321937561035	 training accuracy:0.2575
Epoch:30	training loss:2.998774528503418	 training accuracy:0.2575
Epoch:31	training loss:2.9964842796325684	 training accuracy:0.2575
Epoch:32	training loss:2.992173671722412	 training accuracy:0.2575
Epoch:33	training loss:2.98586368560791	 training accuracy:0.2575
Epoch:34	training loss:2.977816581726074	 training accuracy:0.2575
Epoch:35	training loss:2.9684526920318604	 training accuracy:0.2575
Epoch:36	training loss:2.9582619667053223	 training accuracy:0.2575
Epoch:37	training loss:2.9477181434631348	 training accuracy:0.2575
Epoch:38	training loss:2.9372215270996094	 training accuracy:0.2575
Epoch:39	training loss:2.927063465118408	 training accuracy:0.2575
Epoch:40	training loss:2.9174153804779053	 training accuracy:0.2575
Epoch:41	training loss:2.90834903717041	 training accuracy:0.2575
Epoch:42	training loss:2.899872303009033	 training accuracy:0.2575
Epoch:43	training loss:2.891965389251709	 training accuracy:0.2575
