Learning Rate: 0.0001
Epoch:0	training loss:4.9489665031433105	 training accuracy:0.16470588235294117
Epoch:1	training loss:4.828097820281982	 training accuracy:0.16470588235294117
Epoch:2	training loss:4.707603454589844	 training accuracy:0.16470588235294117
Epoch:3	training loss:4.5875773429870605	 training accuracy:0.16470588235294117
Epoch:4	training loss:4.468133449554443	 training accuracy:0.16470588235294117
Epoch:5	training loss:4.349412441253662	 training accuracy:0.16470588235294117
Epoch:6	training loss:4.231588363647461	 training accuracy:0.16470588235294117
Epoch:7	training loss:4.11487340927124	 training accuracy:0.16470588235294117
Epoch:8	training loss:3.9995226860046387	 training accuracy:0.16470588235294117
Epoch:9	training loss:3.885845899581909	 training accuracy:0.16470588235294117
Epoch:10	training loss:3.7742063999176025	 training accuracy:0.16470588235294117
Epoch:11	training loss:3.6650328636169434	 training accuracy:0.16470588235294117
Epoch:12	training loss:3.5588154792785645	 training accuracy:0.16470588235294117
Epoch:13	training loss:3.456104040145874	 training accuracy:0.16470588235294117
Epoch:14	training loss:3.357489585876465	 training accuracy:0.16470588235294117
Epoch:15	training loss:3.2635791301727295	 training accuracy:0.16470588235294117
Epoch:16	training loss:3.1749510765075684	 training accuracy:0.16470588235294117
Epoch:17	training loss:3.0920913219451904	 training accuracy:0.16470588235294117
Epoch:18	training loss:3.0153234004974365	 training accuracy:0.16470588235294117
Epoch:19	training loss:2.944732189178467	 training accuracy:0.16470588235294117
Epoch:20	training loss:2.8801209926605225	 training accuracy:0.16470588235294117
Epoch:21	training loss:2.8210270404815674	 training accuracy:0.16470588235294117
Epoch:22	training loss:2.7667953968048096	 training accuracy:0.16470588235294117
Epoch:23	training loss:2.716721296310425	 training accuracy:0.16470588235294117
Epoch:24	training loss:2.6701903343200684	 training accuracy:0.16470588235294117
Epoch:25	training loss:2.626777172088623	 training accuracy:0.16470588235294117
Epoch:26	training loss:2.586277484893799	 training accuracy:0.16470588235294117
Epoch:27	training loss:2.5486700534820557	 training accuracy:0.16470588235294117
Epoch:28	training loss:2.5140442848205566	 training accuracy:0.16470588235294117
Epoch:29	training loss:2.482517719268799	 training accuracy:0.16470588235294117
Epoch:30	training loss:2.4541590213775635	 training accuracy:0.16470588235294117
Epoch:31	training loss:2.428941249847412	 training accuracy:0.16470588235294117
Epoch:32	training loss:2.40671443939209	 training accuracy:0.16470588235294117
Epoch:33	training loss:2.3872079849243164	 training accuracy:0.16470588235294117
Epoch:34	training loss:2.37005352973938	 training accuracy:0.16470588235294117
Epoch:35	training loss:2.354818344116211	 training accuracy:0.1411764705882353
Epoch:36	training loss:2.3410468101501465	 training accuracy:0.1411764705882353
Epoch:37	training loss:2.3282978534698486	 training accuracy:0.1411764705882353
Epoch:38	training loss:2.316176652908325	 training accuracy:0.1411764705882353
Epoch:39	training loss:2.30435848236084	 training accuracy:0.1411764705882353
Epoch:40	training loss:2.2925992012023926	 training accuracy:0.1411764705882353
Epoch:41	training loss:2.2807412147521973	 training accuracy:0.15294117647058825
Epoch:42	training loss:2.2687149047851562	 training accuracy:0.08235294117647059
Epoch:43	training loss:2.256526231765747	 training accuracy:0.1411764705882353
Epoch:44	training loss:2.2442500591278076	 training accuracy:0.1411764705882353
Epoch:45	training loss:2.2320170402526855	 training accuracy:0.1411764705882353
Epoch:46	training loss:2.2199981212615967	 training accuracy:0.1411764705882353
Epoch:47	training loss:2.208387613296509	 training accuracy:0.1411764705882353
Epoch:48	training loss:2.197389841079712	 training accuracy:0.1411764705882353
Epoch:49	training loss:2.1872005462646484	 training accuracy:0.1411764705882353
Epoch:50	training loss:2.177992820739746	 training accuracy:0.1411764705882353
Epoch:51	training loss:2.1699025630950928	 training accuracy:0.1411764705882353
Epoch:52	training loss:2.163018226623535	 training accuracy:0.1411764705882353
Epoch:53	training loss:2.1573758125305176	 training accuracy:0.1411764705882353
Epoch:54	training loss:2.1529541015625	 training accuracy:0.1411764705882353
Epoch:55	training loss:2.1496779918670654	 training accuracy:0.07058823529411765
Epoch:56	training loss:2.1474266052246094	 training accuracy:0.12941176470588237
Epoch:57	training loss:2.14604115486145	 training accuracy:0.1411764705882353
Epoch:58	training loss:2.14534068107605	 training accuracy:0.12941176470588237
Epoch:59	training loss:2.145134687423706	 training accuracy:0.11764705882352941
Epoch:60	training loss:2.145238161087036	 training accuracy:0.1411764705882353
Epoch:61	training loss:2.145482063293457	 training accuracy:0.1411764705882353
Epoch:62	training loss:2.1457223892211914	 training accuracy:0.1411764705882353
Epoch:63	training loss:2.1458451747894287	 training accuracy:0.1411764705882353
Epoch:64	training loss:2.1457669734954834	 training accuracy:0.1411764705882353
Epoch:65	training loss:2.145434856414795	 training accuracy:0.1411764705882353
Epoch:66	training loss:2.1448216438293457	 training accuracy:0.1411764705882353
Epoch:67	training loss:2.1439247131347656	 training accuracy:0.1411764705882353
Epoch:68	training loss:2.142759084701538	 training accuracy:0.1411764705882353
Epoch:69	training loss:2.1413536071777344	 training accuracy:0.1411764705882353
Epoch:70	training loss:2.139749765396118	 training accuracy:0.1411764705882353
Epoch:71	training loss:2.1379966735839844	 training accuracy:0.1411764705882353
Epoch:72	training loss:2.13614821434021	 training accuracy:0.1411764705882353
Epoch:73	training loss:2.1342594623565674	 training accuracy:0.1411764705882353
Epoch:74	training loss:2.1323814392089844	 training accuracy:0.1411764705882353
Epoch:75	training loss:2.1305601596832275	 training accuracy:0.11764705882352941
Epoch:76	training loss:2.128831624984741	 training accuracy:0.11764705882352941
Epoch:77	training loss:2.127220392227173	 training accuracy:0.12941176470588237
Epoch:78	training loss:2.1257386207580566	 training accuracy:0.1411764705882353
Epoch:79	training loss:2.124387502670288	 training accuracy:0.15294117647058825
Epoch:80	training loss:2.123159170150757	 training accuracy:0.16470588235294117
Epoch:81	training loss:2.1220386028289795	 training accuracy:0.16470588235294117
Epoch:82	training loss:2.1210074424743652	 training accuracy:0.16470588235294117
Epoch:83	training loss:2.1200451850891113	 training accuracy:0.16470588235294117
Epoch:84	training loss:2.119133472442627	 training accuracy:0.16470588235294117
Epoch:85	training loss:2.1182539463043213	 training accuracy:0.16470588235294117
Epoch:86	training loss:2.1173934936523438	 training accuracy:0.16470588235294117
Epoch:87	training loss:2.116539239883423	 training accuracy:0.16470588235294117
Epoch:88	training loss:2.115682363510132	 training accuracy:0.16470588235294117
Epoch:89	training loss:2.114816188812256	 training accuracy:0.16470588235294117
Epoch:90	training loss:2.1139345169067383	 training accuracy:0.17647058823529413
Epoch:91	training loss:2.113034248352051	 training accuracy:0.17647058823529413
Epoch:92	training loss:2.112112522125244	 training accuracy:0.17647058823529413
Epoch:93	training loss:2.1111693382263184	 training accuracy:0.17647058823529413
Epoch:94	training loss:2.110206127166748	 training accuracy:0.17647058823529413
Epoch:95	training loss:2.109224796295166	 training accuracy:0.17647058823529413
Epoch:96	training loss:2.108231782913208	 training accuracy:0.17647058823529413
Epoch:97	training loss:2.1072309017181396	 training accuracy:0.17647058823529413
Epoch:98	training loss:2.106226921081543	 training accuracy:0.17647058823529413
Epoch:99	training loss:2.1052260398864746	 training accuracy:0.17647058823529413
Epoch:100	training loss:2.104231119155884	 training accuracy:0.17647058823529413
Epoch:101	training loss:2.103245258331299	 training accuracy:0.17647058823529413
Epoch:102	training loss:2.102269411087036	 training accuracy:0.17647058823529413
Epoch:103	training loss:2.1013035774230957	 training accuracy:0.17647058823529413
Epoch:104	training loss:2.1003477573394775	 training accuracy:0.17647058823529413
Epoch:105	training loss:2.099400520324707	 training accuracy:0.17647058823529413
Epoch:106	training loss:2.0984609127044678	 training accuracy:0.17647058823529413
Epoch:107	training loss:2.0975277423858643	 training accuracy:0.17647058823529413
Epoch:108	training loss:2.096599578857422	 training accuracy:0.17647058823529413
Epoch:109	training loss:2.095674991607666	 training accuracy:0.17647058823529413
Epoch:110	training loss:2.094752788543701	 training accuracy:0.17647058823529413
Epoch:111	training loss:2.093832492828369	 training accuracy:0.17647058823529413
Epoch:112	training loss:2.0929129123687744	 training accuracy:0.17647058823529413
Epoch:113	training loss:2.0919933319091797	 training accuracy:0.17647058823529413
Epoch:114	training loss:2.091071844100952	 training accuracy:0.17647058823529413
Epoch:115	training loss:2.090149402618408	 training accuracy:0.17647058823529413
Epoch:116	training loss:2.0892252922058105	 training accuracy:0.17647058823529413
Epoch:117	training loss:2.088299512863159	 training accuracy:0.17647058823529413
Epoch:118	training loss:2.087372064590454	 training accuracy:0.17647058823529413
Epoch:119	training loss:2.086444139480591	 training accuracy:0.17647058823529413
Epoch:120	training loss:2.0855159759521484	 training accuracy:0.17647058823529413
Epoch:121	training loss:2.084587574005127	 training accuracy:0.17647058823529413
Epoch:122	training loss:2.0836591720581055	 training accuracy:0.17647058823529413
Epoch:123	training loss:2.0827322006225586	 training accuracy:0.17647058823529413
Epoch:124	training loss:2.081805944442749	 training accuracy:0.17647058823529413
Epoch:125	training loss:2.0808804035186768	 training accuracy:0.17647058823529413
Epoch:126	training loss:2.079956293106079	 training accuracy:0.17647058823529413
Epoch:127	training loss:2.0790324211120605	 training accuracy:0.17647058823529413
Epoch:128	training loss:2.0781092643737793	 training accuracy:0.17647058823529413
Epoch:129	training loss:2.0771865844726562	 training accuracy:0.17647058823529413
Epoch:130	training loss:2.0762648582458496	 training accuracy:0.17647058823529413
Epoch:131	training loss:2.075343132019043	 training accuracy:0.17647058823529413
Epoch:132	training loss:2.0744218826293945	 training accuracy:0.17647058823529413
Epoch:133	training loss:2.0735011100769043	 training accuracy:0.17647058823529413
Epoch:134	training loss:2.072580575942993	 training accuracy:0.17647058823529413
Epoch:135	training loss:2.071659803390503	 training accuracy:0.17647058823529413
Epoch:136	training loss:2.0707390308380127	 training accuracy:0.17647058823529413
Epoch:137	training loss:2.069817543029785	 training accuracy:0.17647058823529413
Epoch:138	training loss:2.0688955783843994	 training accuracy:0.17647058823529413
Epoch:139	training loss:2.0679731369018555	 training accuracy:0.17647058823529413
Epoch:140	training loss:2.0670509338378906	 training accuracy:0.17647058823529413
Epoch:141	training loss:2.0661277770996094	 training accuracy:0.17647058823529413
Epoch:142	training loss:2.0652048587799072	 training accuracy:0.17647058823529413
Epoch:143	training loss:2.064281702041626	 training accuracy:0.17647058823529413
Epoch:144	training loss:2.0633585453033447	 training accuracy:0.17647058823529413
Epoch:145	training loss:2.0624349117279053	 training accuracy:0.17647058823529413
Epoch:146	training loss:2.061511516571045	 training accuracy:0.17647058823529413
Epoch:147	training loss:2.0605876445770264	 training accuracy:0.17647058823529413
Epoch:148	training loss:2.059663772583008	 training accuracy:0.17647058823529413
Epoch:149	training loss:2.058739423751831	 training accuracy:0.17647058823529413
Epoch:150	training loss:2.0578150749206543	 training accuracy:0.17647058823529413
Epoch:151	training loss:2.0568907260894775	 training accuracy:0.17647058823529413
Epoch:152	training loss:2.0559659004211426	 training accuracy:0.17647058823529413
Epoch:153	training loss:2.0550408363342285	 training accuracy:0.17647058823529413
Epoch:154	training loss:2.0541155338287354	 training accuracy:0.17647058823529413
Epoch:155	training loss:2.053189754486084	 training accuracy:0.17647058823529413
Epoch:156	training loss:2.0522639751434326	 training accuracy:0.17647058823529413
Epoch:157	training loss:2.051337480545044	 training accuracy:0.17647058823529413
Epoch:158	training loss:2.0504109859466553	 training accuracy:0.17647058823529413
Epoch:159	training loss:2.0494840145111084	 training accuracy:0.17647058823529413
Epoch:160	training loss:2.0485565662384033	 training accuracy:0.17647058823529413
Epoch:161	training loss:2.04762864112854	 training accuracy:0.17647058823529413
Epoch:162	training loss:2.0467004776000977	 training accuracy:0.17647058823529413
Epoch:163	training loss:2.045771837234497	 training accuracy:0.17647058823529413
Epoch:164	training loss:2.044842481613159	 training accuracy:0.18823529411764706
Epoch:165	training loss:2.043912887573242	 training accuracy:0.18823529411764706
Epoch:166	training loss:2.042983055114746	 training accuracy:0.18823529411764706
Epoch:167	training loss:2.042052745819092	 training accuracy:0.18823529411764706
Epoch:168	training loss:2.0411221981048584	 training accuracy:0.18823529411764706
Epoch:169	training loss:2.0401909351348877	 training accuracy:0.18823529411764706
Epoch:170	training loss:2.039259195327759	 training accuracy:0.18823529411764706
Epoch:171	training loss:2.038327217102051	 training accuracy:0.18823529411764706
Epoch:172	training loss:2.0373942852020264	 training accuracy:0.2
Epoch:173	training loss:2.036461353302002	 training accuracy:0.2
Epoch:174	training loss:2.0355279445648193	 training accuracy:0.2
Epoch:175	training loss:2.0345940589904785	 training accuracy:0.2
Epoch:176	training loss:2.0336594581604004	 training accuracy:0.2
Epoch:177	training loss:2.032724618911743	 training accuracy:0.2
Epoch:178	training loss:2.031789541244507	 training accuracy:0.2
Epoch:179	training loss:2.030853509902954	 training accuracy:0.2
Epoch:180	training loss:2.0299174785614014	 training accuracy:0.2
Epoch:181	training loss:2.0289809703826904	 training accuracy:0.2
Epoch:182	training loss:2.028043746948242	 training accuracy:0.2
Epoch:183	training loss:2.027106523513794	 training accuracy:0.2
Epoch:184	training loss:2.0261685848236084	 training accuracy:0.2
Epoch:185	training loss:2.025230884552002	 training accuracy:0.2
Epoch:186	training loss:2.0242919921875	 training accuracy:0.2
Epoch:187	training loss:2.023353099822998	 training accuracy:0.2
Epoch:188	training loss:2.022413492202759	 training accuracy:0.2
Epoch:189	training loss:2.0214736461639404	 training accuracy:0.2
Epoch:190	training loss:2.020533561706543	 training accuracy:0.2
Epoch:191	training loss:2.0195930004119873	 training accuracy:0.2
Epoch:192	training loss:2.0186517238616943	 training accuracy:0.2
Epoch:193	training loss:2.0177104473114014	 training accuracy:0.2
Epoch:194	training loss:2.01676869392395	 training accuracy:0.2
Epoch:195	training loss:2.0158262252807617	 training accuracy:0.2
Epoch:196	training loss:2.0148837566375732	 training accuracy:0.2
Epoch:197	training loss:2.0139412879943848	 training accuracy:0.2
Epoch:198	training loss:2.01299786567688	 training accuracy:0.2
Epoch:199	training loss:2.012054204940796	 training accuracy:0.2
Epoch:200	training loss:2.011110544204712	 training accuracy:0.2
Epoch:201	training loss:2.0101659297943115	 training accuracy:0.2
Epoch:202	training loss:2.009221076965332	 training accuracy:0.2
Epoch:203	training loss:2.0082757472991943	 training accuracy:0.2
Epoch:204	training loss:2.0073304176330566	 training accuracy:0.2
Epoch:205	training loss:2.00638484954834	 training accuracy:0.2
Epoch:206	training loss:2.0054383277893066	 training accuracy:0.2
Epoch:207	training loss:2.0044918060302734	 training accuracy:0.21176470588235294
Epoch:208	training loss:2.003545045852661	 training accuracy:0.21176470588235294
Epoch:209	training loss:2.0025975704193115	 training accuracy:0.21176470588235294
Epoch:210	training loss:2.001650094985962	 training accuracy:0.21176470588235294
Epoch:211	training loss:2.000701904296875	 training accuracy:0.21176470588235294
Epoch:212	training loss:1.9997538328170776	 training accuracy:0.21176470588235294
Epoch:213	training loss:1.9988048076629639	 training accuracy:0.21176470588235294
Epoch:214	training loss:1.9978563785552979	 training accuracy:0.21176470588235294
Epoch:215	training loss:1.996907114982605	 training accuracy:0.21176470588235294
Epoch:216	training loss:1.9959574937820435	 training accuracy:0.21176470588235294
Epoch:217	training loss:1.9950077533721924	 training accuracy:0.21176470588235294
Epoch:218	training loss:1.994057297706604	 training accuracy:0.21176470588235294
Epoch:219	training loss:1.9931066036224365	 training accuracy:0.2
Epoch:220	training loss:1.9921561479568481	 training accuracy:0.21176470588235294
Epoch:221	training loss:1.9912056922912598	 training accuracy:0.21176470588235294
Epoch:222	training loss:1.9902546405792236	 training accuracy:0.21176470588235294
Epoch:223	training loss:1.9893033504486084	 training accuracy:0.21176470588235294
Epoch:224	training loss:1.9883517026901245	 training accuracy:0.21176470588235294
Epoch:225	training loss:1.9874000549316406	 training accuracy:0.21176470588235294
Epoch:226	training loss:1.986448049545288	 training accuracy:0.21176470588235294
Epoch:227	training loss:1.9854958057403564	 training accuracy:0.21176470588235294
Epoch:228	training loss:1.9845432043075562	 training accuracy:0.21176470588235294
Epoch:229	training loss:1.9835902452468872	 training accuracy:0.2235294117647059
Epoch:230	training loss:1.9826371669769287	 training accuracy:0.2235294117647059
Epoch:231	training loss:1.9816842079162598	 training accuracy:0.2235294117647059
Epoch:232	training loss:1.980730652809143	 training accuracy:0.2235294117647059
Epoch:233	training loss:1.979777455329895	 training accuracy:0.2235294117647059
Epoch:234	training loss:1.9788237810134888	 training accuracy:0.2235294117647059
Epoch:235	training loss:1.9778698682785034	 training accuracy:0.2235294117647059
Epoch:236	training loss:1.9769160747528076	 training accuracy:0.2235294117647059
Epoch:237	training loss:1.9759622812271118	 training accuracy:0.23529411764705882
Epoch:238	training loss:1.9750078916549683	 training accuracy:0.23529411764705882
Epoch:239	training loss:1.9740536212921143	 training accuracy:0.23529411764705882
Epoch:240	training loss:1.9730993509292603	 training accuracy:0.23529411764705882
Epoch:241	training loss:1.9721447229385376	 training accuracy:0.23529411764705882
Epoch:242	training loss:1.971190094947815	 training accuracy:0.23529411764705882
Epoch:243	training loss:1.9702354669570923	 training accuracy:0.23529411764705882
Epoch:244	training loss:1.9692808389663696	 training accuracy:0.23529411764705882
Epoch:245	training loss:1.9683258533477783	 training accuracy:0.23529411764705882
Epoch:246	training loss:1.9673709869384766	 training accuracy:0.23529411764705882
Epoch:247	training loss:1.9664158821105957	 training accuracy:0.23529411764705882
Epoch:248	training loss:1.9654606580734253	 training accuracy:0.24705882352941178
Epoch:249	training loss:1.9645053148269653	 training accuracy:0.24705882352941178
Epoch:250	training loss:1.963550090789795	 training accuracy:0.25882352941176473
Epoch:251	training loss:1.9625946283340454	 training accuracy:0.27058823529411763
Epoch:252	training loss:1.961639165878296	 training accuracy:0.2823529411764706
Epoch:253	training loss:1.9606835842132568	 training accuracy:0.2823529411764706
Epoch:254	training loss:1.9597278833389282	 training accuracy:0.2823529411764706
Epoch:255	training loss:1.9587721824645996	 training accuracy:0.2823529411764706
Epoch:256	training loss:1.957816243171692	 training accuracy:0.2823529411764706
Epoch:257	training loss:1.9568603038787842	 training accuracy:0.2823529411764706
Epoch:258	training loss:1.9559041261672974	 training accuracy:0.2823529411764706
Epoch:259	training loss:1.9549480676651	 training accuracy:0.2823529411764706
Epoch:260	training loss:1.9539920091629028	 training accuracy:0.2823529411764706
Epoch:261	training loss:1.953035593032837	 training accuracy:0.2823529411764706
Epoch:262	training loss:1.9520796537399292	 training accuracy:0.2823529411764706
Epoch:263	training loss:1.9511233568191528	 training accuracy:0.2823529411764706
Epoch:264	training loss:1.9501668214797974	 training accuracy:0.2823529411764706
Epoch:265	training loss:1.9492100477218628	 training accuracy:0.29411764705882354
Epoch:266	training loss:1.9482532739639282	 training accuracy:0.29411764705882354
Epoch:267	training loss:1.9472966194152832	 training accuracy:0.29411764705882354
Epoch:268	training loss:1.9463393688201904	 training accuracy:0.29411764705882354
Epoch:269	training loss:1.9453822374343872	 training accuracy:0.29411764705882354
Epoch:270	training loss:1.9444252252578735	 training accuracy:0.29411764705882354
Epoch:271	training loss:1.943467617034912	 training accuracy:0.29411764705882354
Epoch:272	training loss:1.9425097703933716	 training accuracy:0.29411764705882354
Epoch:273	training loss:1.9415522813796997	 training accuracy:0.29411764705882354
Epoch:274	training loss:1.9405945539474487	 training accuracy:0.29411764705882354
