File Name,Number of Words in File,Number of Training Words,Content,Training Content
class_11_accounts_chapter_4_0.txt,275,155,"['I', 'I', 'IOCHL', 'J', 'l', 'Recording', 'of', 'Transactions', 'II', 'After', 'chapter', 'you', 'will', 'be', 'able', 'to', 'LEARNING', 'OBJECTIVES', 'studying', 'this', 'state', 'the', 'need', 'for', 'special', 'purpose', 'books', 'record', 'the', 'transactions', 'in', 'cash', 'book', 'and', 'post', 'them', 'in', 'the', 'ledger', 'prepare', 'the', 'petty', 'cash', 'book', 'record', 'the', 'transactions', 'in', 'the', 'special', 'purpose', 'books', 'post', 'the', 'entries', 'in', 'the', 'special', 'purpose', 'book', 'and', 'to', 'the', 'ledger', 'balance', 'the', 'ledger', 'accounts', 'n', 'chapter', 'you', 'learnt', 'that', 'all', 'the', 'business', 'transactions', 'are', 'first', 'recorded', 'in', 'the', 'journal', 'and', 'then', 'they', 'are', 'posted', 'in', 'the', 'ledger', 'accounts', 'A', 'small', 'business', 'may', 'be', 'able', 'to', 'record', 'all', 'its', 'transactions', 'in', 'one', 'book', 'only', 'i', 'e', 'the', 'journal', 'But', 'as', 'the', 'business', 'expands', 'and', 'the', 'number', 'of', 'transactions', 'becomes', 'large', 'it', 'may', 'become', 'cumbersome', 'to', 'jour', 'nalise', 'each', 'transaction', 'For', 'quick', 'efficient', 'and', 'accurate', 'recording', 'of', 'business', 'transactions', 'Journal', 'is', 'sub', 'divided', 'into', 'special', 'journals', 'Many', 'of', 'the', 'business', 'transactions', 'are', 'repetitive', 'in', 'nature', 'They', 'can', 'be', 'easily', 'recorded', 'in', 'special', 'journals', 'each', 'meant', 'for', 'recording', 'all', 'the', 'transactions', 'of', 'a', 'similar', 'nature', 'For', 'example', 'all', 'cash', 'transactions', 'may', 'be', 'recorded', 'in', 'one', 'book', 'all', 'credit', 'sales', 'transactions', 'in', 'another', 'book', 'and', 'all', 'credit', 'purchases', 'transactions', 'in', 'yet', 'another', 'book', 'and', 'so', 'on', 'These', 'special', 'journals', 'are', 'also', 'called', 'daybooks', 'or', 'subsidiary', 'books', 'Transactions', 'that', 'cannot', 'be', 'recorded', 'in', 'any', 'special', 'journal', 'are', 'recorded', 'in', 'journal', 'called', 'the', 'Journal', 'Proper', 'Special', 'journals', 'prove', 'economical', 'and', 'make', 'division', 'of', 'labour', 'possible', 'in', 'accounting', 'work', 'In', 'this', 'chapter', 'we', 'will', 'discuss', 'the', 'following', 'special', 'purpose', 'books', 'Cash', 'Book', 'Purchases', 'Book', 'Purchases', 'Return', 'Retum', 'Outwards', 'Book', 'Sales', 'Book', 'Sales', 'Return', 'Return', 'Inwards', 'Book', 'Journal', 'Proper']", iochl recording transaction chapter able learning objective studying state need special purpose book record transaction cash book post ledger prepare petty cash book record transaction special purpose book post entry special purpose book ledger balance ledger account chapter learnt business transaction first recorded journal posted ledger account small business able record transaction book journal business expands number transaction becomes large become cumbersome jour nalise transaction quick efficient accurate recording business transaction journal divided special journal many business transaction repetitive nature easily recorded special journal meant recording transaction similar nature example cash transaction recorded book credit sale transaction another book credit purchase transaction another book special journal also called daybook subsidiary book transaction cannot recorded special journal recorded journal called journal proper special journal prove economical make division labour possible accounting work chapter discus following special purpose book cash book purchase book purchase return retum outwards book sale book sale return return inwards book journal proper
class_11_accounts_chapter_4_1.txt,266,148,"['Accountancy', 'Cash', 'Book', 'Cash', 'book', 'is', 'a', 'book', 'in', 'which', 'all', 'transactions', 'relating', 'to', 'cash', 'receipts', 'and', 'cash', 'payments', 'are', 'recorded', 'It', 'starts', 'with', 'the', 'cash', 'or', 'bank', 'balances', 'at', 'the', 'beginning', 'of', 'the', 'period', 'Generally', 'it', 'is', 'made', 'on', 'monthly', 'basis', 'This', 'is', 'a', 'very', 'popular', 'book', 'and', 'is', 'maintained', 'by', 'all', 'organisations', 'big', 'or', 'small', 'profit', 'or', 'not', 'for', 'profit', 'It', 'serves', 'the', 'purpose', 'of', 'both', 'journal', 'as', 'well', 'as', 'the', 'ledger', 'cash', 'account', 'It', 'is', 'also', 'called', 'the', 'book', 'of', 'original', 'entry', 'When', 'a', 'cashbook', 'is', 'maintained', 'transactions', 'of', 'cash', 'are', 'not', 'recorded', 'in', 'the', 'journal', 'and', 'no', 'separate', 'account', 'for', 'cash', 'or', 'bank', 'is', 'required', 'in', 'the', 'ledger', 'Single', 'Column', 'Cash', 'Back', 'The', 'single', 'column', 'cash', 'book', 'records', 'all', 'cash', 'transactions', 'of', 'the', 'business', 'in', 'a', 'chronological', 'order', 'i', 'e', 'it', 'is', 'a', 'complete', 'record', 'of', 'cash', 'receipts', 'and', 'cash', 'payments', 'When', 'all', 'receipts', 'and', 'payments', 'are', 'made', 'in', 'cash', 'by', 'a', 'business', 'organisation', 'only', 'the', 'cash', 'book', 'contains', 'only', 'one', 'amount', 'column', 'on', 'each', 'debit', 'and', 'credit', 'side', 'The', 'format', 'of', 'single', 'column', 'cash', 'book', 'is', 'shown', 'in', 'figure', 'Cash', 'Book', 'Dr', 'Cr', 'Fig', 'Format', 'of', 'single', 'column', 'cash', 'book', 'Recording', 'of', 'entries', 'in', 'the', 'single', 'column', 'cash', 'book', 'and', 'its', 'balancing', 'is', 'illustrated', 'by', 'an', 'example', 'Consider', 'the', 'following', 'transactions', 'of', 'M', 's', 'Roopa', 'Traders', 'observe', 'how', 'they', 'are', 'recorded', 'in', 'a', 'single', 'column', 'cash', 'book', 'Cash', 'in', 'hand', 'Cash', 'received', 'from', 'Gurmeet', 'Insurance', 'paid', 'Annual', 'Instalment', 'Purchased', 'furniture', 'Sold', 'goods', 'for', 'cash', 'Purchased', 'goods', 'from', 'Mudit', 'in', 'cash', 'Purchase', 'stationery', 'Cash', 'paid', 'to', 'Rukmani', 'in', 'full', 'settlement', 'of', 'account']", accountancy cash book cash book book transaction relating cash receipt cash payment recorded start cash bank balance beginning period generally made monthly basis popular book maintained organisation small profit profit serf purpose journal well ledger cash account also called book original entry cashbook maintained transaction cash recorded journal separate account cash bank required ledger single column cash back single column cash book record cash transaction business chronological order complete record cash receipt cash payment receipt payment made cash business organisation cash book contains amount column debit credit side format single column cash book shown figure cash book format single column cash book recording entry single column cash book balancing illustrated example consider following transaction roopa trader observe recorded single column cash book cash hand cash received gurmeet insurance paid annual instalment purchased furniture sold good cash purchased good mudit cash purchase stationery cash paid rukmani full settlement account
class_11_accounts_chapter_4_10.txt,249,138,"['Recording', 'of', 'Transactions', 'II', 'Rohit', 's', 'Account', 'Receipts', 'Payments', 'Sept', 'Bank', 'Rent', 'Account', 'Receipts', 'Payments', 'Sept', 'Bank', 'Salary', 'Account', 'Receipts', 'Payments', 'Sept', 'Cash', 'Petty', 'Cash', 'Book', 'In', 'every', 'organisation', 'a', 'large', 'number', 'of', 'small', 'payments', 'such', 'as', 'conveyance', 'cartage', 'postage', 'telegrams', 'and', 'other', 'expenses', 'collectively', 'recorded', 'under', 'miscellaneous', 'expenses', 'are', 'made', 'These', 'are', 'generally', 'repetitive', 'in', 'nature', 'If', 'all', 'these', 'payments', 'are', 'handled', 'by', 'the', 'cashier', 'and', 'are', 'recorded', 'in', 'the', 'main', 'cash', 'book', 'the', 'procedure', 'is', 'found', 'to', 'be', 'very', 'cumbersome', 'The', 'cashier', 'may', 'be', 'overburdened', 'and', 'the', 'cash', 'book', 'may', 'become', 'very', 'bulky', 'To', 'avoid', 'this', 'large', 'organisations', 'normally', 'appoint', 'one', 'more', 'cashier', 'petty', 'cashier', 'and', 'maintain', 'a', 'separate', 'cash', 'book', 'to', 'record', 'these', 'transactions', 'Such', 'a', 'cash', 'book', 'maintained', 'by', 'petty', 'cashier', 'is', 'called', 'petty', 'cash', 'book', 'The', 'petty', 'cashier', 'works', 'on', 'the', 'Imprest', 'system', 'Under', 'this', 'system', 'a', 'de', 'nite', 'sum', 'say', 'is', 'given', 'to', 'the', 'petty', 'cashier', 'at', 'the', 'beginning', 'of', 'a', 'certain', 'period', 'This', 'amount', 'is', 'called', 'imprest', 'amount', 'The', 'petty', 'cashier', 'goes', 'on', 'making', 'all', 'small', 'payments', 'out', 'of', 'this', 'imprest', 'amount', 'and', 'When', 'he', 'has', 'spent', 'the', 'substantial', 'portion', 'of', 'the', 'imprest', 'amount', 'say', 'U', 'he', 'gets', 'reimbursement', 'of', 'the', 'amount', 'spent', 'from', 'the', 'head', 'cashier', 'Thus', 'he', 'again', 'has', 'the', 'full', 'imprest', 'amount', 'in', 'the', 'beginning', 'of', 'the', 'next', 'period', 'The', 'reimbursement', 'may', 'be', 'made', 'on', 'a', 'weekly', 'fortnightly', 'or', 'monthly', 'basis', 'depending', 'on', 'the', 'frequency', 'of', 'small', 'payments', 'In', 'certain', 'cases', 'the', 'petty', 'cash', 'system', 'is', 'operated', 'through', 'the']", recording transaction rohit account receipt payment sept bank rent account receipt payment sept bank salary account receipt payment sept cash petty cash book every organisation large number small payment conveyance cartage postage telegram expense collectively recorded miscellaneous expense made generally repetitive nature payment handled cashier recorded main cash book procedure found cumbersome cashier overburdened cash book become bulky avoid large organisation normally appoint cashier petty cashier maintain separate cash book record transaction cash book maintained petty cashier called petty cash book petty cashier work imprest system system nite given petty cashier beginning certain period amount called imprest amount petty cashier making small payment imprest amount spent substantial portion imprest amount reimbursement amount spent head cashier thus full imprest amount beginning next period reimbursement made weekly fortnightly monthly basis depending frequency small payment certain case petty cash system operated
class_11_accounts_chapter_4_11.txt,368,204,"['l', 'l', 'Accountancy', 'main', 'cash', 'book', 'itself', 'In', 'such', 'instances', 'the', 'petty', 'cash', 'book', 'is', 'not', 'maintained', 'independently', 'The', 'petty', 'cash', 'book', 'generally', 'has', 'a', 'number', 'of', 'columns', 'for', 'the', 'amount', 'on', 'the', 'payment', 'side', 'credit', 'besides', 'the', 'rst', 'other', 'amount', 'column', 'Each', 'of', 'the', 'amount', 'columns', 'is', 'allotted', 'for', 'items', 'of', 'specific', 'payments', 'which', 'are', 'most', 'common', 'The', 'last', 'amount', 'column', 'is', 'designated', 'as', 'Miscellaneous', 'followed', 'by', 'a', 'Remarks', 'column', 'In', 'the', 'miscellaneous', 'column', 'those', 'payments', 'are', 'recorded', 'for', 'which', 'a', 'separate', 'column', 'does', 'not', 'exist', 'In', 'the', 'Remarks', 'the', 'nature', 'of', 'payment', 'is', 'recorded', 'At', 'the', 'end', 'of', 'the', 'period', 'all', 'amount', 'columns', 'are', 'totaled', 'The', 'total', 'amount', 'column', 'shows', 'the', 'total', 'amount', 'spent', 'and', 'to', 'be', 'reimbursed', 'On', 'the', 'receipt', 'debit', 'side', 'there', 'is', 'only', 'one', 'amount', 'column', 'Columns', 'for', 'the', 'date', 'voucher', 'number', 'and', 'particulars', 'are', 'common', 'for', 'both', 'receipts', 'and', 'payments', 'Box', 'Advantages', 'of', 'Maintaining', 'Petty', 'Cash', 'Book', 'Saving', 'of', 'Time', 'and', 'efforts', 'of', 'chief', 'cashier', 'The', 'chief', 'cashier', 'is', 'not', 'required', 'to', 'deal', 'with', 'petty', 'disbursements', 'He', 'can', 'concentrate', 'on', 'cash', 'transactions', 'involving', 'large', 'amount', 'of', 'cash', 'It', 'saves', 'time', 'and', 'labour', 'and', 'helps', 'chief', 'cashier', 'to', 'discharge', 'his', 'duties', 'more', 'effectively', 'Effective', 'control', 'over', 'cash', 'disbursements', 'Cash', 'control', 'becomes', 'easy', 'because', 'of', 'division', 'of', 'work', 'The', 'head', 'cashier', 'can', 'control', 'big', 'payments', 'directly', 'and', 'petty', 'payments', 'by', 'keeping', 'a', 'proper', 'check', 'on', 'the', 'petty', 'cashier', 'This', 'way', 'the', 'chances', 'of', 'making', 'frauds', 'and', 'embezzlements', 'become', 'very', 'difficult', 'Convenient', 'recording', 'Recording', 'of', 'petty', 'disbursements', 'in', 'the', 'main', 'cash', 'book', 'makes', 'it', 'bulky', 'and', 'unmanageable', 'Further', 'the', 'materiality', 'principle', 'requires', 'that', 'insignificant', 'details', 'need', 'not', 'be', 'given', 'in', 'the', 'main', 'cashbook', 'This', 'way', 'the', 'cash', 'book', 'reveals', 'only', 'material', 'and', 'useful', 'information', 'Recording', 'of', 'such', 'small', 'payments', 'becomes', 'easy', 'as', 'the', 'totals', 'of', 'different', 'types', 'of', 'expenses', 'are', 'posted', 'to', 'ledger', 'It', 'also', 'saves', 'time', 'and', 'effort', 'of', 'posting', 'individual', 'items', 'in', 'the', 'ledger', 'In', 'nutshell', 'it', 'can', 'be', 'stated', 'that', 'preparation', 'of', 'petty', 'cash', 'book', 'is', 'a', 'cost', 'reduction', 'control', 'measure', 'For', 'example', 'Mr', 'Mohit', 'the', 'petty', 'cahier', 'of', 'M', 's', 'Samaira', 'Traders', 'received', 'Rupees', 'on', 'May', 'from', 'the', 'Head', 'Cashier', 'For', 'the', 'month', 'details', 'of', 'petty', 'expenses', 'are', 'listed', 'here', 'under']", accountancy main cash book instance petty cash book maintained independently petty cash book generally number column amount payment side credit besides amount column amount column allotted item specific payment common last amount column designated miscellaneous followed remark column miscellaneous column payment recorded separate column exist remark nature payment recorded period amount column totaled total amount column show total amount spent reimbursed receipt debit side amount column column date voucher number particular common receipt payment advantage maintaining petty cash book saving time effort chief cashier chief cashier required deal petty disbursement concentrate cash transaction involving large amount cash save time labour help chief cashier discharge duty effectively effective control cash disbursement cash control becomes easy division work head cashier control payment directly petty payment keeping proper check petty cashier chance making fraud embezzlement become difficult convenient recording recording petty disbursement main cash book make bulky unmanageable materiality principle requires insignificant detail need given main cashbook cash book reveals material useful information recording small payment becomes easy total different type expense posted ledger also save time effort posting individual item ledger nutshell stated preparation petty cash book cost reduction control measure example mohit petty cahier samaira trader received rupee head cashier month detail petty expense listed
class_11_accounts_chapter_4_12.txt,176,112,"['Recording', 'of', 'Transactions', 'II', 'Auto', 'fare', 'Courier', 'services', 'Postal', 'stamps', 'Erasers', 'Sharpeners', 'Pencils', 'Pads', 'Speed', 'post', 'charges', 'Taxi', 'fare', 'R', 'Refreshments', 'Auto', 'fare', 'Registered', 'postal', 'charges', 'Telegram', 'Cartage', 'Computer', 'stationery', 'Bus', 'fare', 'STD', 'call', 'charges', 'Office', 'sanitation', 'including', 'disinfectant', 'R', 'i', 'Refreshment', 'Photo', 'stating', 'charges', 'Courier', 'services', 'Unloading', 'charges', 'Bus', 'fare', 'Posting', 'from', 'the', 'Petty', 'Cash', 'Book', 'The', 'petty', 'cash', 'book', 'is', 'balanced', 'periodically', 'The', 'difference', 'between', 'the', 'total', 'receipts', 'and', 'total', 'payments', 'is', 'the', 'balance', 'with', 'the', 'petty', 'cashier', 'The', 'balance', 'is', 'carried', 'to', 'the', 'next', 'period', 'and', 'the', 'petty', 'cashier', 'is', 'paid', 'the', 'amount', 'actually', 'spent', 'A', 'petty', 'cash', 'account', 'is', 'opened', 'in', 'the', 'ledger', 'It', 'is', 'debited', 'with', 'the', 'amount', 'given', 'to', 'petty', 'cashier', 'Each', 'expense', 'account', 'is', 'individually', 'debited', 'with', 'the', 'periodic', 'total', 'as', 'per', 'the', 'respective', 'column', 'by', 'writing', 'petty', 'cash', 'account', 'and', 'the', 'petty', 'cash', 'account', 'is', 'credited', 'with', 'the', 'total', 'expenditure', 'incurred', 'during', 'the', 'period', 'by', 'writing', 'sundries', 'as', 'per', 'petty', 'cash', 'book', 'The', 'petty', 'cash', 'account', 'is', 'balanced', 'It', 're', 'ect', 'the', 'actual', 'cash', 'with', 'the', 'petty', 'cashier']", recording transaction auto fare courier service postal stamp eraser sharpener pencil speed post charge taxi fare refreshment auto fare registered postal charge telegram cartage computer stationery fare call charge office sanitation including disinfectant refreshment photo stating charge courier service unloading charge fare posting petty cash book petty cash book balanced periodically difference total receipt total payment balance petty cashier balance carried next period petty cashier paid amount actually spent petty cash account opened ledger debited amount given petty cashier expense account individually debited periodic total respective column writing petty cash account petty cash account credited total expenditure incurred period writing sundries petty cash book petty cash account balanced actual cash petty cashier
class_11_accounts_chapter_4_13.txt,93,74,"['The', 'petty', 'cash', 'book', 'for', 'the', 'month', 'will', 'be', 'prepared', 'as', 'follows', 'Book', 'of', 'Samaira', 'Traders', 'Petty', 'Cash', 'Book', 'Amount', 'Date', 'Particulars', 'Voucher', 'Amount', 'Analysis', 'of', 'Payments', 'Received', 'No', 'paid', 'Postage', 'Telephone', 'Conveyance', 'Stationery', 'Misc', 'May', 'Telegram', 'Cash', 'received', 'Auto', 'fare', 'Courier', 'services', 'Postal', 'stamps', 'Erasers', 'Sharpeners', 'Pencils', 'Speed', 'post', 'charges', 'O', 'Taxi', 'fare', 'Refreshments', 'Auto', 'fare', 'Registered', 'postal', 'charges', 'Telegram', 'Cartage', 'Computer', 'stationery', 'Bus', 'fare', 'STD', 'call', 'charges', 'Office', 'sanitation', 'including', 'disinfectant', 'Refreshment', 'Photo', 'stating', 'charges', 'Courier', 'services', 'Unloading', 'charges', 'Bus', 'fare', 'Balance', 'c', 'd', 'Jun', 'Balance', 'b', 'd', 'Cash', 'received', 'Aoumunooov']", petty cash book month prepared follows book samaira trader petty cash book amount date particular voucher amount analysis payment received paid postage telephone conveyance stationery misc telegram cash received auto fare courier service postal stamp eraser sharpener pencil speed post charge taxi fare refreshment auto fare registered postal charge telegram cartage computer stationery fare call charge office sanitation including disinfectant refreshment photo stating charge courier service unloading charge fare balance balance cash received aoumunooov
class_11_accounts_chapter_4_14.txt,112,61,"['Recording', 'of', 'Transactions', 'II', 'Books', 'of', 'Samaira', 'Traders', 'Journal', 'Petty', 'cash', 'A', 'c', 'To', 'Cash', 'A', 'c', 'Cash', 'aid', 'to', 'ett', 'cashier', 'Postage', 'A', 'C', 'Telephone', 'Telegram', 'A', 'c', 'Conveyance', 'A', 'c', 'Stationary', 'A', 'c', 'Miscellaneous', 'expenses', 'A', 'c', 'To', 'Petty', 'cash', 'A', 'c', 'Petty', 'expenses', 'posted', 'to', 'petty', 'cash', 'account', 'Petty', 'cash', 'A', 'c', 'To', 'Cash', 'A', 'c', 'Cash', 'paid', 'to', 'petty', 'cashier', 'Petty', 'Cash', 'Account', 'Dr', 'Cr', 'May', 'Sundries', 'as', 'per', 'petty', 'cash', 'book', 'Balance', 'c', 'd', 'Books', 'of', 'Samaria', 'Traders', 'Postage', 'Account', 'Dr', 'Cr', 'Date', 'Particulars', 'J', 'F', 'Amount', 'Date', 'Particulars', 'J', 'F', 'Amount', 'May', 'Petty', 'cash', 'Telephone', 'and', 'Telegram', 'Account', 'Dr', 'Cr', 'May', 'Petty', 'cash', 'Balance', 'b', 'Cash']", recording transaction book samaira trader journal petty cash cash cash cashier postage telephone telegram conveyance stationary miscellaneous expense petty cash petty expense posted petty cash account petty cash cash cash paid petty cashier petty cash account sundries petty cash book balance book samaria trader postage account date particular amount date particular amount petty cash telephone telegram account petty cash balance cash
class_11_accounts_chapter_4_15.txt,235,127,"['Accountancy', 'Conveyance', 'Account', 'Dr', 'Cr', 'Date', 'Particulars', 'J', 'F', 'Amount', 'Date', 'Particulars', 'J', 'F', 'Amount', 'May', 'Petty', 'cash', 'Stationery', 'Account', 'Dr', 'Cr', 'Date', 'Particulars', 'J', 'F', 'Amount', 'Date', 'Particulars', 'J', 'F', 'Amount', 'May', 'Petty', 'cash', 'Miscellaneous', 'Expenses', 'Account', 'Dr', 'Cr', 'May', 'Petty', 'cash', 'Balancing', 'of', 'Cash', 'Back', 'On', 'the', 'left', 'side', 'all', 'cash', 'transactions', 'relating', 'to', 'cash', 'receipts', 'debits', 'and', 'on', 'the', 'right', 'side', 'all', 'transactions', 'relating', 'to', 'cash', 'payments', 'credits', 'are', 'entered', 'date', 'wise', 'When', 'a', 'cash', 'book', 'is', 'maintained', 'a', 'separate', 'cash', 'book', 'in', 'the', 'ledger', 'is', 'not', 'opened', 'The', 'cash', 'book', 'is', 'balanced', 'in', 'the', 'same', 'way', 'as', 'an', 'account', 'in', 'the', 'ledger', 'But', 'it', 'may', 'be', 'noted', 'that', 'in', 'the', 'case', 'of', 'the', 'cash', 'book', 'there', 'will', 'always', 'be', 'debit', 'balance', 'because', 'cash', 'payments', 'can', 'never', 'exceed', 'cash', 'receipts', 'and', 'cash', 'in', 'hand', 'at', 'the', 'beginning', 'of', 'the', 'period', 'The', 'source', 'document', 'for', 'cash', 'receipts', 'is', 'generally', 'the', 'duplicate', 'copy', 'of', 'the', 'receipt', 'issued', 'by', 'the', 'cashier', 'For', 'payment', 'any', 'document', 'invoice', 'bill', 'receipt', 'etc', 'on', 'the', 'basis', 'of', 'which', 'payment', 'has', 'been', 'made', 'will', 'serve', 'as', 'a', 'source', 'document', 'for', 'recording', 'transactions', 'in', 'the', 'cash', 'book', 'When', 'payment', 'has', 'been', 'made', 'all', 'these', 'documents', 'popularly', 'known', 'as', 'vouchers', 'are', 'given', 'a', 'serial', 'number', 'and', 'filed', 'in', 'a', 'separate', 'file', 'for', 'future', 'reference', 'and', 'verification', 'Illustration', 'From', 'the', 'following', 'transactions', 'made', 'by', 'M', 's', 'Kuntia', 'Traders', 'prepare', 'the', 'single', 'column', 'cashbook']", accountancy conveyance account date particular amount date particular amount petty cash stationery account date particular amount date particular amount petty cash miscellaneous expense account petty cash balancing cash back left side cash transaction relating cash receipt debit right side transaction relating cash payment credit entered date wise cash book maintained separate cash book ledger opened cash book balanced account ledger noted case cash book always debit balance cash payment never exceed cash receipt cash hand beginning period source document cash receipt generally duplicate copy receipt issued cashier payment document invoice bill receipt basis payment made serve source document recording transaction cash book payment made document popularly known voucher given serial number filed separate file future reference verification illustration following transaction made kuntia trader prepare single column cashbook
class_11_accounts_chapter_4_16.txt,136,101,"['Recording', 'of', 'Transactions', 'II', 'Cash', 'in', 'hand', 'Deposited', 'in', 'bank', 'Received', 'from', 'Puneet', 'in', 'full', 'settlement', 'of', 'claim', 'of', 'Cash', 'paid', 'to', 'Rukmani', 'in', 'full', 'settlement', 'of', 'claim', 'of', 'i', 'Sold', 'goods', 'to', 'Sudhir', 'for', 'cash', 'Paid', 'quarterly', 'insurance', 'premium', 'on', 'policy', 'for', 'proprietor', 's', 'wife', 'Purchased', 'office', 'furniture', 'Purchased', 'stationery', 'Paid', 'cartage', 'Paid', 'Kamal', 'discount', 'allowed', 'by', 'him', 'i', 'Received', 'from', 'Gurmeet', 'discount', 'allowed', 'to', 'him', 'Amount', 'withdrawn', 'for', 'house', 'hold', 'use', 'Electricity', 'bill', 'paid', 'Goods', 'sold', 'for', 'cash', 'Bought', 'goods', 'from', 'Kamal', 'on', 'cash', 'basis', 'Paid', 'telephone', 'charges', 'Paid', 'postal', 'charges', 'Paid', 'monthly', 'Paid', 'monthly', 'rent', 'wages', 'and', 'salary', 'Bought', 'goods', 'for', 'cash', 'Sold', 'goods', 'for', 'cash', 'Solution', 'Books', 'of', 'Kuntia', 'Traders', 'Cash', 'Book', 'Sept', 'Sept', 'Sept', 'Sept', 'Sept', 'Sept', 'Balance', 'b', 'd', 'Rukmani', 'Drawings', 'Office', 'furniture', 'Stationery', 'Cartage', 'Kamal', 'Drawings', 'Electric', 'charges', 'Purchases']", recording transaction cash hand deposited bank received puneet full settlement claim cash paid rukmani full settlement claim sold good sudhir cash paid quarterly insurance premium policy proprietor wife purchased office furniture purchased stationery paid cartage paid kamal discount allowed received gurmeet discount allowed amount withdrawn house hold electricity bill paid good sold cash bought good kamal cash basis paid telephone charge paid postal charge paid monthly paid monthly rent wage salary bought good cash sold good cash solution book kuntia trader cash book sept sept sept sept sept sept balance rukmani drawing office furniture stationery cartage kamal drawing electric charge purchase
class_11_accounts_chapter_4_17.txt,134,92,"['Accountancy', 'Telephone', 'charges', 'Postal', 'charges', 'Rent', 'Wages', 'Salary', 'Purchases', 'Balance', 'c', 'd', 'Oct', 'Balance', 'b', 'd', 'Illustration', 'Record', 'the', 'following', 'transactions', 'in', 'double', 'column', 'cash', 'book', 'and', 'balance', 'it', 'Cash', 'balance', 'Bank', 'balance', 'Paid', 'insurance', 'premium', 'by', 'cheque', 'Cash', 'sales', 'Cash', 'discount', 'Payment', 'for', 'cash', 'purchases', 'Cash', 'discount', 'Cash', 'deposited', 'in', 'bank', 'Telephone', 'bill', 'paid', 'by', 'cheque', 'Withdrawn', 'from', 'bank', 'for', 'personal', 'use', 'Withdrawn', 'from', 'bank', 'office', 'use', 'Received', 'cheque', 'from', 'John', 'in', 'full', 'and', 'final', 'settlement', 'and', 'deposited', 'the', 'same', 'in', 'the', 'bank', 'Received', 'cash', 'from', 'Michael', 'Discount', 'allowed', 'Stationery', 'purchased', 'for', 'cash', 'Cartage', 'paid', 'in', 'cash', 'Cheque', 'received', 'from', 'Kumar', 'Cheque', 'received', 'from', 'Kumar', 'deposited', 'in', 'Bank', 'Cheque', 'deposited', 'on', 'Aug', 'dishonoured', 'and', 'returned', 'by', 'the', 'bank', 'Rent', 'paid', 'by', 'cheque', 'Paid', 'wages', 'to', 'the', 'watchman', 'in', 'cash', 'Paid', 'cash', 'for', 'postage']", accountancy telephone charge postal charge rent wage salary purchase balance balance illustration record following transaction double column cash book balance cash balance bank balance paid insurance premium cheque cash sale cash discount payment cash purchase cash discount cash deposited bank telephone bill paid cheque withdrawn bank personal withdrawn bank office received cheque john full final settlement deposited bank received cash michael discount allowed stationery purchased cash cartage paid cash cheque received kumar cheque received kumar deposited bank cheque deposited dishonoured returned bank rent paid cheque paid wage watchman cash paid cash postage
